ID,sources
AP012212.1_1006,AbiL.faa
AP012212.1_1792,LmuB.faa
AP012223.1_120,GajA.faa
AP012224.1_1832,LmuB.faa
AP012273.1_2797,PDC-M01A.faa
AP012279.1_6046,GajA.faa
AP012280.1_3705,GajA.faa
AP012281.1_1088,LmuB.faa
AP012281.1_1482,PrrC.faa
AP012292.1_1998,PtuA.faa
AP012305.1_511,PtuA.faa
AP012320.1_1766,GajA.faa
AP012322.1_1023,AbiL.faa
AP012322.1_1024,AbiL.faa
AP012325.1_1134,LmuB.faa
AP012327.1_1644,GajA.faa
AP012330.1_1083,GajA.faa
AP012332.1_1233,AbiL.faa
AP012332.1_1234,AbiL.faa
AP012342.1_621,PrrC.faa
AP012544.1_2354,LmuB.faa
AP012547.1_1612,AbiL.faa
AP012547.1_1613,AbiL.faa
AP012547.1_1878,GajA.faa
AP012551.1_2666,LmuB.faa
AP012600.1_380,AbiL.faa
AP012600.1_381,AbiL.faa
AP013036.1_336,GajA.faa
AP013044.1_1166,PrrC.faa
AP013063.1_3579,PrrC.faa
AP013070.1_2990,PtuA.faa
AP013070.1_2993,LmuB.faa
AP013294.1_1071,GajA.faa
AP013354.1_1067,AbiL.faa
AP013354.1_1068,AbiL.faa
AP013355.1_1068,AbiL.faa
AP013355.1_1069,AbiL.faa
AP013356.1_1068,AbiL.faa
AP013356.1_1069,AbiL.faa
AP014522.1_2976,PtuA.faa
AP014523.1_963,AbiL.faa
AP014523.1_964,AbiL.faa
AP014547.1_3458,LmuB.faa
AP014568.1_1432,GajA.faa
AP014598.1_116,PtuA.faa
AP014612.1_1253,PrrC.faa
AP014622.1_3691,GajA.faa
AP014623.1_2509,GajA.faa
AP014624.1_2114,GajA.faa
AP014624.1_2994,GajA.faa
AP014627.1_2954,GajA.faa
AP014628.1_2329,AbiL.faa
AP014628.1_2330,AbiL.faa
AP014628.1_3048,LmuB.faa
AP014630.1_2747,LmuB.faa
AP014630.1_616,PDC-M01A.faa;PtuA.faa
AP014633.1_3545,PtuA.faa
AP014635.1_1261,LmuB.faa
AP014637.1_1359,PtuA.faa
AP014640.1_379,LmuB.faa
AP014644.1_379,LmuB.faa
AP014646.1_2446,GajA.faa
AP014648.1_1133,LmuB.faa
AP014649.1_1806,GajA.faa
AP014651.1_6340,GajA.faa
AP014651.1_6342,PDC-M01A.faa
AP014652.1_54,LmuB.faa
AP014652.1_56,LmuB.faa
AP014653.1_54,LmuB.faa
AP014653.1_56,LmuB.faa
AP014680.1_660,AbiL.faa
AP014680.1_661,AbiL.faa
AP014685.1_4337,GajA.faa
AP014685.1_4382,GajA.faa
AP014690.1_2242,PrrC.faa
AP014703.1_2931,LmuB.faa
AP014705.1_1197,LmuB.faa
AP014712.1_1030,AbiL.faa
AP014712.1_1031,AbiL.faa
AP014719.1_56,GajA.faa
AP014724.1_852,PtuA.faa
AP014800.1_600,LmuB.faa
AP014809.1_1028,LmuB.faa
AP014809.1_1937,LmuB.faa
AP014809.1_2714,LmuB.faa
AP014825.1_39,AbiL.faa
AP014825.1_40,AbiL.faa
AP014862.1_1373,PtuA.faa
AP014862.1_1527,GajA.faa
AP014862.1_2762,GajA.faa
AP014862.1_3432,PtuA.faa
AP014864.1_2559,LmuB.faa
AP014865.1_204,LmuB.faa
AP014880.1_34,AbiL.faa
AP014880.1_35,AbiL.faa
AP014925.1_1794,GajA.faa
AP014936.1_860,HEC-04.faa
AP014938.1_1067,AbiL.faa
AP014938.1_1068,AbiL.faa
AP014938.1_1552,GajA.faa
AP014940.1_2965,PDC-M01A.faa
AP014940.1_3879,GajA.faa
AP015031.1_208,GajA.faa
AP017302.1_1069,LmuB.faa
AP017302.1_2373,LmuB.faa
AP017302.1_4652,HEC-02.faa
AP017302.1_4653,HEC-02.faa
AP017308.1_703,PtuA.faa
AP017369.1_1702,LmuB.faa
AP017372.2_1087,PDC-M01A.faa;PtuA.faa
AP017422.1_2725,PtuA.faa
AP017423.2_1002,AbiL.faa
AP017423.2_1003,AbiL.faa
AP017423.2_1834,LmuB.faa
AP017423.2_2549,PtuA.faa
AP017459.1_591,GajA.faa
AP017459.1_592,GajA.faa
AP017469.1_3802,PtuA.faa
AP017557.2_1382,GajA.faa
AP017560.1_1091,HEC-03.faa
AP017560.1_1092,HEC-03.faa
AP017560.1_2026,PtuA.faa
AP017560.1_3195,PtuA.faa
AP017560.1_3816,LmuB.faa
AP017603.1_712,GajA.faa
AP017617.1_2335,PtuA.faa
AP017618.1_115,HEC-04.faa
AP017620.1_2347,PtuA.faa
AP017621.1_113,HEC-04.faa
AP017623.1_2421,AbiL.faa
AP017623.1_2422,AbiL.faa
AP017632.1_1377,AbiL.faa
AP017632.1_1378,AbiL.faa
AP017633.1_1077,AbiL.faa
AP017633.1_1078,AbiL.faa
AP017652.1_714,GajA.faa
AP017655.1_2802,PDC-M01A.faa
AP017658.1_70,GajA.faa
AP017658.1_71,GajA.faa
AP017891.1_28,LmuB.faa
AP017898.1_1732,GajA.faa
AP017898.1_3464,PDC-M01A.faa
AP017959.1_2019,GajA.faa
AP017971.1_1093,GajA.faa
AP017991.1_3991,PtuA.faa
AP017991.1_4168,AbiL.faa
AP017991.1_4169,AbiL.faa
AP018044.1_676,GajA.faa
AP018050.1_343,PDC-M01A.faa
AP018113.1_708,GajA.faa
AP018132.1_1053,PtuA.faa
AP018147.1_39,Ppl.faa
AP018205.1_13,LmuB.faa
AP018254.1_1567,AbiL.faa
AP018254.1_1568,AbiL.faa
AP018254.1_709,PtuA.faa
AP018280.1_6070,AbiL.faa
AP018280.1_6071,AbiL.faa
AP018281.1_328,LmuB.faa
AP018281.1_331,LmuB.faa
AP018335.1_105,GajA.faa
AP018338.1_448,PrrC.faa
AP018349.1_27,LmuB.faa
AP018402.1_1798,GajA.faa
AP018437.1_1291,Ppl.faa
AP018439.1_186,PtuA.faa
AP018449.1_2926,LmuB.faa
AP018496.1_3241,GajA.faa
AP018498.1_2331,LmuB.faa
AP018498.1_2695,LmuB.faa
AP018520.1_160,GajA.faa
AP018520.1_164,AbiL.faa
AP018520.1_165,AbiL.faa
AP018532.1_1659,AbiL.faa
AP018532.1_1660,AbiL.faa
AP018532.1_756,PDC-M01A.faa
AP018535.1_1024,AbiL.faa
AP018535.1_1025,AbiL.faa
AP018536.1_3199,AbiL.faa
AP018536.1_3200,AbiL.faa
AP018536.1_718,AbiL.faa
AP018536.1_719,AbiL.faa
AP018538.1_2608,AbiL.faa
AP018538.1_2609,AbiL.faa
AP018543.1_2606,AbiL.faa
AP018543.1_2607,AbiL.faa
AP018585.1_60,GajA.faa
AP018664.1_3886,GajA.faa
AP018671.1_1782,LmuB.faa
AP018677.1_3222,LmuB.faa
AP018680.1_2055,Ppl.faa
AP018685.1_156,PtuA.faa
AP018694.1_192,PtuA.faa
AP018694.1_390,GajA.faa
AP018711.1_3192,HEC-02.faa
AP018711.1_3193,HEC-02.faa
AP018747.1_4909,PrrC.faa
AP018750.1_5101,PrrC.faa
AP018753.1_5097,PrrC.faa
AP018764.1_942,PrrC.faa
AP018765.1_945,PrrC.faa
AP018766.1_779,PrrC.faa
AP018767.1_774,PrrC.faa
AP018777.1_344,AbiL.faa
AP018777.1_345,AbiL.faa
AP018777.1_832,PrrC.faa
AP018784.1_2081,LmuB.faa
AP018824.1_185,GajA.faa
AP018824.1_427,PDC-M01A.faa;PtuA.faa
AP018920.1_3966,GajA.faa
AP018920.1_672,GajA.faa
AP018933.1_2345,LmuB.faa
AP018935.1_1289,GajA.faa
AP019004.1_2275,PtuA.faa
AP019193.1_3159,LmuB.faa
AP019305.1_1783,GajA.faa
AP019306.1_1886,GajA.faa
AP019308.1_1219,PtuA.faa
AP019308.1_5372,LmuB.faa
AP019308.1_728,LmuB.faa
AP019314.1_1506,PtuA.faa
AP019314.1_5151,AbiL.faa
AP019314.1_5152,AbiL.faa
AP019314.1_92,PtuA.faa
AP019368.1_2498,LmuB.faa
AP019400.1_2302,GajA.faa
AP019400.1_2966,LmuB.faa
AP019517.2_1044,HEC-02.faa
AP019517.2_1045,HEC-02.faa
AP019517.2_1059,PtuA.faa
AP019517.2_1060,PtuA.faa
AP019531.1_600,PrrC.faa
AP019547.1_1060,GajA.faa
AP019547.1_654,PrrC.faa
AP019620.1_3414,AbiL.faa
AP019620.1_3415,AbiL.faa
AP019620.1_5076,PDC-M01A.faa
AP019630.1_1063,PtuA.faa
AP019630.1_3244,GajA.faa
AP019634.1_3261,LmuB.faa
AP019655.1_1034,LmuB.faa
AP019658.1_864,PDC-M01A.faa;PtuA.faa
AP019684.1_541,Ppl.faa
AP019689.1_49,GajA.faa
AP019691.1_20,GajA.faa
AP019692.1_1198,HEC-04.faa
AP019692.1_637,PrrC.faa
AP019695.1_2052,AbiL.faa
AP019695.1_2053,AbiL.faa
AP019695.1_36,GajA.faa
AP019700.1_295,GajA.faa
AP019711.1_1852,AbiL.faa
AP019711.1_1853,AbiL.faa
AP019711.1_2161,AbiL.faa
AP019711.1_2162,AbiL.faa
AP019717.1_454,GajA.faa
AP019724.1_2736,GajA.faa
AP019729.1_2570,PrrC.faa
AP019729.1_3873,HEC-02.faa
AP019729.1_3874,HEC-02.faa
AP019729.1_40,AbiL.faa
AP019729.1_41,AbiL.faa
AP019730.1_435,AbiL.faa
AP019730.1_436,AbiL.faa
AP019735.1_121,GajA.faa
AP019735.1_1235,PtuA.faa
AP019735.1_2058,PtuA.faa
AP019736.1_222,PtuA.faa
AP019749.1_147,GajA.faa
AP019755.1_224,HEC-03.faa
AP019755.1_225,HEC-03.faa
AP019777.1_1001,GajA.faa
AP019777.1_1156,LmuB.faa
AP019777.1_1532,PtuA.faa
AP019778.1_9,GajA.faa
AP019783.1_1425,PtuA.faa
AP019783.1_366,PtuA.faa
AP019783.1_787,GajA.faa
AP019799.1_277,GajA.faa
AP019800.1_131,Ppl.faa
AP019817.1_2757,GajA.faa
AP019823.1_2013,PtuA.faa
AP019827.1_1524,PtuA.faa
AP019827.1_28,GajA.faa;PtuA.faa
AP019827.1_30,GajA.faa
AP019827.1_31,GajA.faa
AP019829.2_1633,AbiL.faa
AP019829.2_1634,AbiL.faa
AP019829.2_1723,PtuA.faa
AP019829.2_1735,GajA.faa
AP019831.1_2510,PtuA.faa
AP019834.1_1586,AbiL.faa
AP019834.1_1587,AbiL.faa
AP019834.1_1676,PtuA.faa
AP019835.1_1713,AbiL.faa
AP019835.1_1714,AbiL.faa
AP019835.1_1808,PtuA.faa
AP019835.1_1824,GajA.faa
AP019840.1_2656,GajA.faa
AP019840.1_426,GajA.faa
AP019841.1_1774,PtuA.faa
AP019845.1_2341,GajA.faa
AP019845.1_2343,PtuA.faa
AP019845.1_369,PtuA.faa
AP019850.1_677,PtuA.faa
AP019850.1_746,Ppl.faa
AP019856.1_4367,PDC-M01A.faa
AP020310.1_1386,GajA.faa
AP020330.1_1160,HEC-04.faa
AP020330.1_747,LmuB.faa
AP020330.1_89,PtuA.faa
AP020332.1_87,PtuA.faa
AP020335.1_1798,PtuA.faa
AP020335.1_1816,PtuA.faa
AP020337.1_1232,PDC-M01A.faa
AP020337.1_1304,LmuB.faa
AP020337.1_4112,GajA.faa
AP020337.1_419,PtuA.faa
AP020337.1_4772,GajA.faa
AP021844.1_1025,LmuB.faa
AP021844.1_1028,GajA.faa
AP021844.1_1809,GajA.faa
AP021844.1_2360,PrrC.faa
AP021845.1_404,GajA.faa
AP021857.1_166,AbiL.faa
AP021857.1_167,AbiL.faa
AP021867.1_1723,GajA.faa
AP021868.1_1734,LmuB.faa
AP021874.1_5207,GajA.faa
AP021875.1_874,LmuB.faa
AP021879.1_672,PtuA.faa
AP021879.1_682,GajA.faa
AP021884.1_2098,AbiL.faa
AP021884.1_2099,AbiL.faa
AP021889.1_664,HEC-02.faa
AP021889.1_665,HEC-02.faa
AP021892.1_3912,LmuB.faa
AP021893.1_1673,LmuB.faa
AP021898.1_398,HEC-02.faa
AP021898.1_399,HEC-02.faa
AP021900.1_1478,PtuA.faa
AP021900.1_3754,GajA.faa
AP021901.1_1804,GajA.faa
AP021901.1_2396,PDC-M01A.faa
AP021901.1_3729,GajA.faa
AP021902.1_2550,PtuA.faa
AP021902.1_3623,PtuA.faa
AP021902.1_4474,GajA.faa
AP021903.1_2817,GajA.faa
AP021903.1_2863,GajA.faa
AP021904.1_3893,PtuA.faa
AP021904.1_799,GajA.faa
AP021905.1_1998,LmuB.faa
AP021908.1_1157,GajA.faa
AP021908.1_3907,PtuA.faa
AP021917.1_1343,PtuA.faa
AP021927.1_1520,LmuB.faa
AP021927.1_1521,PtuA.faa
AP021927.1_336,HEC-04.faa
AP021927.1_3991,PtuA.faa
AP021928.1_75,HEC-03.faa
AP021928.1_76,HEC-03.faa
AP021933.1_1386,PtuA.faa
AP021934.1_109,LmuB.faa
AP021936.1_1788,PDC-M01A.faa;PtuA.faa
AP021936.1_1803,GajA.faa
AP021936.1_2419,LmuB.faa
AP021936.1_2711,PtuA.faa
AP021936.1_737,PtuA.faa
AP021945.1_25,GajA.faa
AP021945.1_5,HEC-04.faa
AP021947.1_45,GajA.faa
AP021950.1_4087,PtuA.faa
AP021963.1_2742,PDC-M01A.faa;PtuA.faa
AP021964.1_31,GajA.faa
AP021998.1_2608,LmuB.faa
AP022005.1_4059,GajA.faa
AP022006.1_63,GajA.faa
AP022013.1_1391,GajA.faa
AP022013.1_2983,PtuA.faa
AP022014.1_4003,PtuA.faa
AP022030.1_1157,LmuB.faa
AP022031.1_60,Ppl.faa
AP022032.1_2549,LmuB.faa
AP022044.1_2637,LmuB.faa
AP022049.1_1957,PtuA.faa
AP022050.1_82,HEC-04.faa
AP022055.1_4295,PtuA.faa
AP022058.1_125,GajA.faa
AP022064.1_1942,LmuB.faa
AP022069.1_261,PrrC.faa
AP022077.1_2122,GajA.faa
AP022077.1_2123,GajA.faa
AP022078.1_94,PtuA.faa
AP022079.1_97,GajA.faa
AP022095.1_2951,PtuA.faa
AP022095.1_3529,Ppl.faa
AP022096.1_28,GajA.faa
AP022098.1_1462,PtuA.faa
AP022106.1_42,GajA.faa
AP022108.1_1557,LmuB.faa
AP022108.1_1655,AbiL.faa
AP022108.1_1656,AbiL.faa
AP022109.1_375,Ppl.faa
AP022110.1_971,PtuA.faa
AP022111.1_70,HEC-03.faa
AP022111.1_71,HEC-03.faa
AP022113.1_182,GajA.faa
AP022121.1_28,GajA.faa
AP022139.1_642,GajA.faa
AP022145.1_141,PrrC.faa
AP022161.1_1527,PtuA.faa
AP022162.1_104,GajA.faa
AP022173.1_711,PrrC.faa
AP022177.1_3879,GajA.faa
AP022185.1_90,GajA.faa
AP022189.1_1221,GajA.faa
AP022195.1_1222,GajA.faa
AP022201.1_1221,GajA.faa
AP022206.1_637,Ppl.faa
AP022213.1_4317,GajA.faa
AP022223.1_154,GajA.faa
AP022252.1_3159,LmuB.faa
AP022256.1_1762,LmuB.faa
AP022256.1_1764,GajA.faa
AP022261.1_2907,PtuA.faa
AP022281.1_3144,PtuA.faa
AP022290.1_1929,Ppl.faa
AP022291.1_69,HEC-03.faa
AP022291.1_70,HEC-03.faa
AP022313.1_987,PrrC.faa
AP022316.1_1320,LmuB.faa
AP022324.1_1129,LmuB.faa
AP022324.1_2110,PtuA.faa
AP022324.1_464,GajA.faa
AP022341.1_36,GajA.faa
AP022351.1_1997,LmuB.faa
AP022362.1_144,GajA.faa
AP022362.1_2136,LmuB.faa
AP022371.1_1816,PtuA.faa
AP022371.1_3070,PDC-M01A.faa;PtuA.faa
AP022371.1_3557,LmuB.faa
AP022371.1_393,GajA.faa
AP022372.1_2004,LmuB.faa
AP022372.1_3173,GajA.faa
AP022374.1_3235,GajA.faa
AP022375.1_2053,GajA.faa
AP022375.1_885,LmuB.faa
AP022378.1_2196,Ppl.faa
AP022378.1_3706,GajA.faa
AP022389.1_2825,HEC-04.faa
AP022473.1_2156,GajA.faa
AP022483.1_164,GajA.faa
AP022486.1_2824,HEC-04.faa
AP022494.1_2825,HEC-04.faa
AP022513.1_2009,HEC-04.faa
AP022560.1_2868,GajA.faa
AP022560.1_959,GajA.faa
AP022565.1_2533,GajA.faa
AP022565.1_824,GajA.faa
AP022567.1_423,GajA.faa
AP022586.1_43,GajA.faa
AP022588.1_2790,LmuB.faa
AP022589.1_2015,LmuB.faa
AP022591.1_2459,LmuB.faa
AP022596.1_5998,HEC-03.faa
AP022596.1_5999,HEC-03.faa
AP022600.1_631,HEC-04.faa
AP022605.1_1942,Ppl.faa
AP022608.1_2967,LmuB.faa
AP022616.1_3566,HEC-03.faa
AP022616.1_3567,HEC-03.faa
AP022618.1_1661,GajA.faa
AP022620.1_2768,LmuB.faa
AP022638.1_2873,LmuB.faa
AP022640.1_2624,LmuB.faa
AP022642.1_1339,GajA.faa
AP022642.1_2635,LmuB.faa
AP022642.1_3378,PtuA.faa
AP022642.1_4687,PDC-M01A.faa
AP022642.1_583,GajA.faa
AP022650.1_1225,PDC-M01A.faa;PtuA.faa
AP022651.1_111,GajA.faa
AP022665.1_613,GajA.faa
AP022810.1_843,GajA.faa
AP022821.1_3290,PtuA.faa
AP022821.1_3293,HEC-02.faa
AP022821.1_3294,HEC-02.faa
AP022822.1_2360,GajA.faa
AP022843.1_3689,AbiL.faa
AP022843.1_3690,AbiL.faa
AP022848.1_9,LmuB.faa
AP022856.1_18,GajA.faa
AP022869.1_2035,PtuA.faa
AP022869.1_2344,GajA.faa
AP022869.1_3159,GajA.faa
AP022869.1_3727,GajA.faa
AP022870.1_2426,AbiL.faa
AP022870.1_2427,AbiL.faa
AP022870.1_7945,LmuB.faa
AP022870.1_7946,LmuB.faa
AP022870.1_8821,AbiL.faa
AP022870.1_8822,AbiL.faa
AP022871.1_4265,LmuB.faa
AP022871.1_5621,AbiL.faa
AP022871.1_5622,AbiL.faa
AP022964.1_1236,LmuB.faa
AP022964.1_392,GajA.faa
AP022964.1_747,LmuB.faa
AP022964.1_748,LmuB.faa
AP022986.1_2124,GajA.faa
AP022988.1_171,LmuB.faa
AP023032.1_1138,PtuA.faa
AP023033.1_2163,PtuA.faa
AP023077.1_700,PtuA.faa
AP023179.1_573,LmuB.faa
AP023181.1_1255,GajA.faa
AP023184.1_259,LmuB.faa
AP023189.1_224,GajA.faa
AP023189.1_249,GajA.faa
AP023189.1_292,GajA.faa
AP023189.1_701,LmuB.faa
AP023190.1_1090,PDC-M01A.faa;PtuA.faa
AP023192.1_34,HEC-04.faa
AP023197.1_1090,PDC-M01A.faa;PtuA.faa
AP023199.1_34,HEC-04.faa
AP023212.1_286,AbiL.faa
AP023212.1_287,AbiL.faa
AP023220.2_83,Ppl.faa
AP023228.1_123,GajA.faa
AP023231.2_71,Ppl.faa
AP023235.1_1830,LmuB.faa
AP023236.1_43,Ppl.faa
AP023239.1_4525,Ppl.faa
AP023240.1_1426,PtuA.faa
AP023240.1_1614,PtuA.faa
AP023240.1_1616,PtuA.faa
AP023240.1_3590,LmuB.faa
AP023240.1_3592,LmuB.faa
AP023254.1_2484,PtuA.faa
AP023259.1_201,LmuB.faa
AP023262.1_3995,PtuA.faa
AP023262.1_6575,PtuA.faa
AP023272.1_964,PtuA.faa
AP023272.1_992,PtuA.faa
AP023279.1_490,PtuA.faa
AP023322.1_213,AbiL.faa
AP023322.1_214,AbiL.faa
AP023323.1_2801,PtuA.faa
AP023337.1_4299,GajA.faa
AP023338.1_91,LmuB.faa
AP023360.1_6399,LmuB.faa
AP023392.1_1276,LmuB.faa
AP023392.1_1356,LmuB.faa
AP023410.1_2344,GajA.faa
AP023420.1_1510,HEC-04.faa
AP023420.1_2571,LmuB.faa
AP023420.1_916,LmuB.faa
AP023438.1_2324,GajA.faa
AP023438.1_3808,AbiL.faa
AP023438.1_3809,AbiL.faa
AP023452.1_3657,AbiL.faa
AP023452.1_3658,AbiL.faa
AP024096.1_3949,PtuA.faa
AP024096.1_4229,PtuA.faa
AP024096.1_6232,LmuB.faa
AP024113.1_126,GajA.faa
AP024136.2_3322,GajA.faa
AP024136.2_3576,GajA.faa
AP024169.1_3888,LmuB.faa
AP024172.1_1526,GajA.faa
AP024192.1_3021,GajA.faa
AP024192.1_745,LmuB.faa
AP024196.1_2553,LmuB.faa
AP024235.1_3173,LmuB.faa
AP024235.1_3200,PDC-M01A.faa
AP024236.1_3154,LmuB.faa
AP024236.1_3181,PDC-M01A.faa
AP024238.1_4190,PtuA.faa
AP024238.1_4450,AbiL.faa
AP024238.1_4451,AbiL.faa
AP024309.1_1433,LmuB.faa
AP024322.1_2819,HEC-03.faa
AP024322.1_2820,HEC-03.faa
AP024322.1_497,LmuB.faa
AP024325.1_1330,GajA.faa
AP024329.1_3311,GajA.faa
AP024341.1_3808,PtuA.faa
AP024473.1_2349,PtuA.faa
AP024473.1_2350,PtuA.faa
AP024475.1_2252,PtuA.faa
AP024475.1_2253,PtuA.faa
AP024489.1_1653,HEC-02.faa
AP024489.1_1654,HEC-02.faa
AP024503.1_2914,PtuA.faa
AP024504.2_892,PrrC.faa
AP024515.1_2338,GajA.faa
AP024515.1_2439,PtuA.faa
AP024515.1_952,LmuB.faa
AP024519.1_32,HEC-04.faa
AP024614.1_1063,PtuA.faa
AP024614.1_4350,Ppl.faa
AP024618.1_2636,PDC-M01A.faa
AP024630.1_1776,LmuB.faa
AP024652.1_3498,GajA.faa
AP024712.1_507,PtuA.faa
AP024745.1_1627,LmuB.faa
AP024798.1_2390,LmuB.faa
